Machine_ID,Temperature,Run_Time,Downtime_Flag
9836,80.22,442,1
20640,83.33,231,1
77466,95.46,111,1
75157,87.83,318,0
43219,97.88,439,0
36311,79.07,479,1
17226,62.47,263,1
65017,81.29,58,0
19874,86.98,143,0
65341,84.21,489,0
41465,92.34,420,1
82963,87.97,326,1
75694,76.23,253,1
18263,95.83,319,1
76260,67.17,90,1
23090,96.18,123,0
60734,62.2,189,0
98332,68.72,56,1
22921,63.62,260,0
46072,80.32,115,1
31397,81.87,78,1
96887,88.58,152,0
69202,65.91,387,1
73229,72.61,325,0
95475,86.64,224,1
24214,71.45,452,0
8930,75.71,103,0
43551,92.53,164,0
42687,81.99,464,1
21453,67.81,136,0
88841,99.59,347,1
8435,78.85,401,1
90620,62.08,156,1
52734,97.34,186,0
56898,71.18,317,0
46835,98.03,171,1
64787,99.86,341,0
47337,69.31,342,0
29374,62.14,380,0
16011,73.39,171,1
99076,83.43,204,0
49759,97.6,452,0
57255,85.86,388,0
7320,79.19,271,1
84867,94.77,67,0
43497,67.03,344,0
63262,92.86,206,1
92694,98.59,70,0
55406,91.33,228,0
18629,85.72,295,1
68902,62.58,102,1
3696,77.29,247,1
4592,63.09,125,0
19140,82.27,411,1
3857,74.19,56,1
23008,61.03,388,1
74392,86.95,206,1
44829,95.25,104,1
37132,63.81,180,1
84141,64.32,130,0
53338,66.4,64,1
44644,86.42,253,1
93939,65.64,489,1
8039,89.27,259,1
11608,74.11,302,1
24645,77.89,396,1
21478,81.05,137,1
45484,87.1,241,0
56502,80.26,108,1
96786,75.43,161,1
73338,93.64,139,0
48986,93.45,231,1
37250,96.98,490,0
99033,86.82,321,1
41123,81.24,238,1
29668,84.27,460,0
7509,97.82,135,0
11570,83.33,76,0
13974,64.05,213,0
71622,93.23,198,0
55916,94.66,239,1
38947,70.65,251,1
55102,85.36,246,0
67536,95.74,263,1
16811,91.2,81,0
77493,76.04,379,1
73241,78.7,197,0
20787,95.83,299,0
44400,61.41,214,1
36224,66.75,88,1
88775,81.43,244,1
76831,90.48,384,0
5941,87.1,338,1
49332,90.73,482,1
25702,79.96,483,0
25609,60.11,51,1
30092,87.96,205,1
47660,68.0,477,0
96451,85.04,135,0
89164,79.62,300,1
47296,86.44,190,1
54241,62.16,319,0
70765,68.72,490,0
43810,88.8,106,1
43785,73.12,379,1
92128,67.97,271,0
25318,83.18,200,0
31535,66.02,451,1
49943,88.78,355,1
96663,85.5,283,0
32774,76.16,135,1
66064,64.56,351,0
68121,83.45,376,1
22767,71.87,275,1
39274,75.67,249,0
64236,74.48,168,0
37692,62.63,271,0
70903,76.66,98,1
38102,91.79,95,1
6298,93.59,130,1
32681,69.79,54,0
27116,68.49,269,0
56729,85.7,180,1
37276,93.77,287,1
92820,76.03,335,0
15980,61.34,304,0
18560,83.25,471,1
15939,74.6,320,0
24233,87.9,136,0
28410,97.58,128,1
88251,81.16,209,1
31563,78.18,474,0
5250,74.76,346,1
48272,62.1,304,0
93489,90.53,237,1
75147,81.86,352,1
62450,88.71,179,0
55778,88.46,386,1
52612,89.62,478,0
72961,76.08,124,0
94663,82.74,139,1
22499,70.45,258,0
68354,65.1,281,1
49856,64.08,260,0
54206,98.65,463,1
90293,99.66,400,0
44038,78.65,445,1
354,93.09,331,1
29842,86.02,209,1
33417,61.52,427,1
11105,90.51,164,1
51078,81.35,334,1
98305,67.92,171,1
87798,87.61,378,1
38298,70.64,470,0
81434,88.95,334,1
4511,91.26,277,1
70580,84.84,329,0
75760,88.36,401,0
16100,97.65,416,1
26871,71.55,319,0
14599,60.82,485,0
81608,65.89,334,1
64159,66.3,311,1
43763,93.41,255,1
4349,93.68,240,0
73753,60.94,209,0
37680,68.36,394,1
57948,79.49,386,1
18123,62.31,195,1
68696,94.46,196,1
68566,70.78,457,0
64627,65.8,173,0
41241,90.95,207,1
21554,86.52,277,0
63484,88.58,466,1
54001,69.12,416,1
86389,73.46,323,1
18387,73.79,93,1
31360,99.58,472,0
29970,72.1,67,0
40223,73.5,92,1
87181,94.16,495,0
69782,98.14,300,1
1111,87.97,463,0
54429,89.85,280,1
73603,73.17,390,1
41182,62.39,414,0
31345,94.64,334,1
20115,89.7,369,0
8446,61.73,475,1
85655,94.38,115,0
76019,81.18,375,1
42784,92.36,117,1
30639,80.45,55,0
22272,87.04,356,0
82110,66.76,407,1
64983,64.66,352,1
82324,78.98,164,1
26394,96.08,348,0
4820,98.4,197,1
27059,80.21,242,0
92355,66.86,296,0
50118,80.66,214,1
39432,80.7,257,0
10823,64.29,457,0
